Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-06-20 16:00:00,1732.49000000,1747.97000000,1728.39000000,1745.07000000,27601.38210000,2023-06-20 16:59:59.999,48017414.44754900,29801,13785.17130000,23977898.76315300,0
2023-06-20 17:00:00,1745.07000000,1778.70000000,1745.07000000,1769.08000000,45920.49900000,2023-06-20 17:59:59.999,80739643.21347100,53658,24289.16000000,42716611.30239300,0
2023-06-20 18:00:00,1769.07000000,1791.88000000,1769.07000000,1782.91000000,42519.79770000,2023-06-20 18:59:59.999,75770059.24113300,56293,22133.66870000,39438742.39889200,0
2023-06-20 19:00:00,1782.91000000,1784.97000000,1769.23000000,1782.10000000,25768.62030000,2023-06-20 19:59:59.999,45788716.64037600,32851,14137.12240000,25119729.23144000,0
2023-06-20 20:00:00,1782.09000000,1789.98000000,1777.47000000,1784.70000000,23778.10320000,2023-06-20 20:59:59.999,42412007.75449500,30218,12681.64560000,22618348.65733700,0
2023-06-20 21:00:00,1784.71000000,1787.00000000,1774.14000000,1777.05000000,15608.94610000,2023-06-20 21:59:59.999,27820311.02427200,19248,8528.71530000,15201663.60578700,0
2023-06-20 22:00:00,1777.05000000,1787.23000000,1776.44000000,1785.14000000,11000.60790000,2023-06-20 22:59:59.999,19600824.22677700,12733,6007.43280000,10703025.95941400,0
2023-06-20 23:00:00,1785.14000000,1796.99000000,1784.72000000,1791.99000000,14444.45230000,2023-06-20 23:59:59.999,25842549.97512200,19295,8018.82600000,14346132.21112700,0
2023-06-21 00:00:00,1791.99000000,1807.00000000,1787.38000000,1799.53000000,26220.16810000,2023-06-21 00:59:59.999,47078542.07208000,36817,13901.12510000,24963054.81644800,0
2023-06-21 01:00:00,1799.53000000,1828.26000000,1799.53000000,1809.05000000,44393.17450000,2023-06-21 01:59:59.999,80511493.63310100,53525,21306.30290000,38646554.63207300,0
2023-06-21 02:00:00,1809.05000000,1812.51000000,1806.22000000,1811.22000000,13799.29870000,2023-06-21 02:59:59.999,24963713.35536900,15160,6545.69110000,11841557.70391600,0
2023-06-21 03:00:00,1811.22000000,1812.51000000,1807.03000000,1811.38000000,10421.80310000,2023-06-21 03:59:59.999,18860984.56083700,13484,4479.28170000,8106813.13749800,0
2023-06-21 04:00:00,1811.39000000,1818.79000000,1808.08000000,1816.39000000,18181.17460000,2023-06-21 04:59:59.999,32964669.02785800,18320,9542.75220000,17302413.96854300,0
2023-06-21 05:00:00,1816.40000000,1822.67000000,1813.43000000,1821.53000000,14157.80020000,2023-06-21 05:59:59.999,25720990.75251100,19125,7504.59630000,13634034.76167400,0
2023-06-21 06:00:00,1821.53000000,1823.58000000,1809.59000000,1813.04000000,14730.00520000,2023-06-21 06:59:59.999,26741402.50099900,23992,6412.68530000,11642253.91235600,0
2023-06-21 07:00:00,1813.04000000,1814.41000000,1810.59000000,1813.08000000,9184.07220000,2023-06-21 07:59:59.999,16647805.07883500,13543,4706.28530000,8531010.00476100,0
2023-06-21 08:00:00,1813.07000000,1813.08000000,1807.40000000,1809.29000000,9161.21390000,2023-06-21 08:59:59.999,16582379.85791000,13510,3543.21330000,6412487.17042900,0
2023-06-21 09:00:00,1809.30000000,1815.76000000,1809.18000000,1813.30000000,8297.64940000,2023-06-21 09:59:59.999,15039527.17764400,12689,3844.31110000,6966852.83741300,0
