Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-06-20 04:00:00,26896.53000000,26969.64000000,26896.52000000,26965.94000000,893.56524000,2023-06-20 04:59:59.999,24075155.45320420,20555,480.54685000,12947808.66976920,0
2023-06-20 05:00:00,26965.94000000,27033.24000000,26794.01000000,26820.46000000,2045.50027000,2023-06-20 05:59:59.999,55036444.16246830,39936,936.12445000,25189689.40599370,0
2023-06-20 06:00:00,26821.36000000,26843.60000000,26755.00000000,26789.15000000,1377.18849000,2023-06-20 06:59:59.999,36912187.86007550,25722,588.94603000,15784682.77000720,0
2023-06-20 07:00:00,26789.15000000,26840.00000000,26758.76000000,26832.44000000,809.25754000,2023-06-20 07:59:59.999,21696682.39029050,25995,391.18516000,10487933.15688920,0
2023-06-20 08:00:00,26832.45000000,26837.40000000,26740.00000000,26754.25000000,1430.99115000,2023-06-20 08:59:59.999,38316998.82871830,24376,635.03701000,17003226.49882380,0
2023-06-20 09:00:00,26754.24000000,26814.68000000,26702.47000000,26780.56000000,1091.14439000,2023-06-20 09:59:59.999,29201480.83343270,23553,483.70693000,12945130.21713120,0
2023-06-20 10:00:00,26780.57000000,26831.52000000,26748.91000000,26775.98000000,893.78336000,2023-06-20 10:59:59.999,23942110.28462500,20303,397.50944000,10647884.45865620,0
2023-06-20 11:00:00,26775.99000000,26912.00000000,26754.00000000,26907.99000000,1134.44333000,2023-06-20 11:59:59.999,30441739.19604180,23656,639.72849000,17169842.53005320,0
2023-06-20 12:00:00,26907.99000000,26980.00000000,26834.62000000,26851.99000000,2026.36243000,2023-06-20 12:59:59.999,54514375.38065530,34146,1038.31448000,27936676.10797270,0
2023-06-20 13:00:00,26851.99000000,26950.00000000,26783.27000000,26812.01000000,1821.68387000,2023-06-20 13:59:59.999,48973821.52555590,33690,807.16058000,21699440.00993790,0
2023-06-20 14:00:00,26812.00000000,26845.97000000,26652.00000000,26780.00000000,2224.02348000,2023-06-20 14:59:59.999,59494099.81017420,43454,1102.77554000,29499639.61131460,0
2023-06-20 15:00:00,26780.00000000,27134.73000000,26740.00000000,27071.93000000,2863.75461000,2023-06-20 15:59:59.999,77183671.21686490,52894,1569.08001000,42284276.80774750,0
2023-06-20 16:00:00,27071.94000000,27395.00000000,27001.73000000,27380.54000000,7125.20097000,2023-06-20 16:59:59.999,193977970.51242170,102052,3539.28014000,96354999.16973420,0
2023-06-20 17:00:00,27380.55000000,27965.00000000,27339.85000000,27796.00000000,10764.48177000,2023-06-20 17:59:59.999,296907293.44164080,146558,5745.23137000,158527498.79075510,0
2023-06-20 18:00:00,27796.00000000,28140.00000000,27778.00000000,28070.54000000,7564.05343000,2023-06-20 18:59:59.999,211435590.05366950,114229,3862.36205000,107952790.29520090,0
2023-06-20 19:00:00,28070.53000000,28110.29000000,27788.13000000,27982.77000000,5015.37961000,2023-06-20 19:59:59.999,139995254.94485630,80763,2265.56797000,63230222.02156450,0
2023-06-20 20:00:00,27982.77000000,28249.78000000,27872.00000000,28157.99000000,4647.76396000,2023-06-20 20:59:59.999,130401494.44275640,79963,2317.53306000,65022769.73298120,0
2023-06-20 21:00:00,28158.00000000,28306.41000000,28067.91000000,28130.00000000,3007.14870000,2023-06-20 21:59:59.999,84721550.36095710,56727,1550.76202000,43693543.30121640,0
2023-06-20 22:00:00,28130.00000000,28270.98000000,28104.30000000,28213.47000000,2099.29785000,2023-06-20 22:59:59.999,59146967.24014240,35776,1014.06030000,28572337.82374330,0
2023-06-20 23:00:00,28213.47000000,28402.74000000,28147.67000000,28307.99000000,3321.52271000,2023-06-20 23:59:59.999,93946255.24762600,49238,1870.46689000,52917702.12901870,0
2023-06-21 00:00:00,28308.00000000,28490.35000000,28257.99000000,28414.00000000,4203.05172000,2023-06-21 00:59:59.999,119179416.61460640,69985,2061.93046000,58479330.76261550,0
2023-06-21 01:00:00,28413.99000000,29088.09000000,28395.31000000,28785.93000000,7635.67277000,2023-06-21 01:59:59.999,219769200.74128230,139066,4039.57591000,116264277.76524650,0
2023-06-21 02:00:00,28785.93000000,28899.02000000,28759.15000000,28789.05000000,2735.89312000,2023-06-21 02:59:59.999,78824773.53916230,40619,1435.89310000,41371607.56403990,0
2023-06-21 03:00:00,28789.05000000,28803.76000000,28678.00000000,28711.15000000,2577.84040000,2023-06-21 03:59:59.999,74065686.00413540,41480,1268.46875000,36442904.47869900,0
2023-06-21 04:00:00,28711.15000000,28807.65000000,28680.00000000,28785.53000000,2715.90940000,2023-06-21 04:59:59.999,78068024.18529430,41208,1407.78341000,40465792.09258540,0
2023-06-21 05:00:00,28785.10000000,28990.00000000,28770.89000000,28982.02000000,2947.98711000,2023-06-21 05:59:59.999,85070951.15555420,48723,1662.86797000,47994924.68369270,0
2023-06-21 06:00:00,28982.01000000,29005.00000000,28771.87000000,28858.01000000,3655.79650000,2023-06-21 06:59:59.999,105499229.47283460,58368,2036.84777000,58773539.05490420,0
2023-06-21 07:00:00,28858.01000000,28919.66000000,28823.64000000,28872.28000000,1940.58433000,2023-06-21 07:59:59.999,56034763.53807640,38777,982.07933000,28357862.36018370,0
2023-06-21 08:00:00,28872.28000000,28914.99000000,28787.70000000,28824.41000000,2167.51226000,2023-06-21 08:59:59.999,62517611.97810770,37501,975.97957000,28149266.58182510,0
2023-06-21 09:00:00,28824.41000000,28962.88000000,28821.13000000,28923.69000000,1963.16892000,2023-06-21 09:59:59.999,56738035.56453720,34000,927.74768000,26809120.85871690,0
2023-06-21 10:00:00,28923.69000000,29221.99000000,28815.23000000,28834.91000000,4598.89045000,2023-06-21 10:59:59.999,133251973.94648380,76012,2309.74564000,66954335.43208940,0
2023-06-21 11:00:00,28834.92000000,29040.37000000,28801.00000000,28930.00000000,2413.47096000,2023-06-21 11:59:59.999,69798793.12116810,43892,1264.65552000,36579912.65712640,0
2023-06-21 12:00:00,28930.00000000,29151.80000000,28889.11000000,28893.73000000,3981.45692000,2023-06-21 12:59:59.999,115498841.21864180,61976,1881.70093000,54598219.88935770,0
2023-06-21 13:00:00,28893.74000000,29404.96000000,28875.81000000,29311.99000000,6154.83064000,2023-06-21 13:59:59.999,179517830.88084350,90781,3175.35743000,92652542.85522610,0
2023-06-21 14:00:00,29311.99000000,29591.99000000,29073.70000000,29536.01000000,7616.12614000,2023-06-21 14:59:59.999,223471792.90364840,121397,3870.04448000,113592022.37053160,0
2023-06-21 15:00:00,29536.02000000,30000.00000000,29467.78000000,29851.58000000,10154.81869000,2023-06-21 15:59:59.999,302301031.69275940,156689,5460.90965000,162605649.54905800,0
2023-06-21 16:00:00,29851.58000000,30800.00000000,29763.37000000,30164.58000000,16779.70316000,2023-06-21 16:59:59.999,508942578.70802340,295813,8869.07616000,268945662.48490180,0
2023-06-21 17:00:00,30164.58000000,30350.00000000,29854.00000000,30080.23000000,8536.62352000,2023-06-21 17:59:59.999,256430073.73546470,142134,4399.60625000,132185717.60300890,0
2023-06-21 18:00:00,30080.23000000,30291.98000000,30010.18000000,30131.39000000,4150.12024000,2023-06-21 18:59:59.999,125201490.45319870,78543,2077.63106000,62681443.94531630,0
2023-06-21 19:00:00,30131.38000000,30183.37000000,29903.82000000,30112.03000000,2699.01174000,2023-06-21 19:59:59.999,81085413.95225740,65237,1229.82322000,36945056.23911890,0
2023-06-21 20:00:00,30112.02000000,30152.71000000,29860.00000000,29988.01000000,2348.95616000,2023-06-21 20:59:59.999,70491535.20883370,51415,1029.54667000,30892751.44973950,0
2023-06-21 21:00:00,29988.01000000,30032.70000000,29800.00000000,29880.95000000,2564.40300000,2023-06-21 21:59:59.999,76742818.58900350,51576,1253.32318000,37508568.76848670,0
2023-06-21 22:00:00,29880.96000000,30149.99000000,29857.76000000,30114.56000000,2082.13438000,2023-06-21 22:59:59.999,62472120.64048000,42281,1197.50642000,35929966.35581380,0
2023-06-21 23:00:00,30114.55000000,30195.77000000,29970.90000000,29993.89000000,2302.44159000,2023-06-21 23:59:59.999,69327141.52189370,45400,1028.86896000,30984989.44265430,0
2023-06-22 00:00:00,29993.89000000,30245.51000000,29891.15000000,30139.48000000,3300.88077000,2023-06-22 00:59:59.999,99362056.71124390,61298,1725.25024000,51938021.34138260,0
2023-06-22 01:00:00,30139.47000000,30213.83000000,30062.36000000,30159.06000000,1725.43539000,2023-06-22 01:59:59.999,52022161.86865250,40688,824.22311000,24851834.06170380,0
2023-06-22 02:00:00,30159.07000000,30500.00000000,30084.68000000,30472.11000000,3481.61782000,2023-06-22 02:59:59.999,105568756.41934250,59338,1956.46947000,59321740.24576370,0
2023-06-22 03:00:00,30472.12000000,30493.58000000,30241.91000000,30296.01000000,1596.66569000,2023-06-22 03:59:59.999,48445731.06484860,37305,724.47104000,21982195.76096040,0
2023-06-22 04:00:00,30296.00000000,30350.00000000,30198.00000000,30350.00000000,1727.50704000,2023-06-22 04:59:59.999,52297374.79458270,36176,881.49498000,26691267.91979020,0
2023-06-22 05:00:00,30349.99000000,30350.00000000,30237.57000000,30285.30000000,1264.04066000,2023-06-22 05:59:59.999,38306272.89463760,31437,602.25990000,18252927.64133230,0
2023-06-22 06:00:00,30285.29000000,30293.85000000,30036.91000000,30130.02000000,2488.10638000,2023-06-22 06:59:59.999,74941640.21877150,56047,1163.49052000,35042790.11222400,0
2023-06-22 07:00:00,30130.02000000,30190.00000000,30010.00000000,30100.75000000,2209.53115000,2023-06-22 07:59:59.999,66494487.89081500,39071,1055.88609000,31782880.05591900,0
2023-06-22 08:00:00,30100.75000000,30152.00000000,30040.00000000,30096.70000000,1315.35716000,2023-06-22 08:59:59.999,39583842.65013640,30108,650.21279000,19567799.20179340,0
2023-06-22 09:00:00,30096.69000000,30178.19000000,30057.08000000,30134.36000000,1614.21962000,2023-06-22 09:59:59.999,48644531.51061670,33108,764.73957000,23045406.60462020,0
2023-06-22 10:00:00,30134.36000000,30244.00000000,30096.77000000,30178.00000000,1934.95374000,2023-06-22 10:59:59.999,58418361.50438490,36028,930.47592000,28096692.48788240,0
2023-06-22 11:00:00,30178.00000000,30184.68000000,29840.09000000,29928.00000000,5817.37663000,2023-06-22 11:59:59.999,174435282.16587440,95693,2492.83903000,74744693.95098010,0
2023-06-22 12:00:00,29928.01000000,30137.68000000,29918.48000000,30115.49000000,2017.58877000,2023-06-22 12:59:59.999,60646268.04312420,42210,1021.71731000,30705572.71228470,0
2023-06-22 13:00:00,30115.48000000,30351.14000000,30107.47000000,30235.99000000,3346.57669000,2023-06-22 13:59:59.999,101167251.55909460,64745,1713.48853000,51800868.28213590,0
2023-06-22 14:00:00,30235.99000000,30291.99000000,29525.61000000,29746.76000000,6617.87470000,2023-06-22 14:59:59.999,197969583.33702390,118691,2865.62426000,85695177.95575120,0
2023-06-22 15:00:00,29746.75000000,29963.58000000,29646.95000000,29850.65000000,4914.16651000,2023-06-22 15:59:59.999,146488574.31590160,73540,2170.94406000,64705141.95984450,0
2023-06-22 16:00:00,29850.65000000,30176.96000000,29821.50000000,29970.02000000,3665.23691000,2023-06-22 16:59:59.999,109873762.45357340,65732,1753.57400000,52567966.43778310,0
2023-06-22 17:00:00,29970.01000000,30187.27000000,29887.38000000,30145.29000000,2167.97436000,2023-06-22 17:59:59.999,65133711.48951520,42304,1031.57409000,31000822.03289060,0
2023-06-22 18:00:00,30145.30000000,30167.08000000,29964.76000000,30133.99000000,1641.14420000,2023-06-22 18:59:59.999,49361878.47314200,34947,852.10502000,25634983.18426970,0
2023-06-22 19:00:00,30133.99000000,30234.83000000,30044.10000000,30213.11000000,1469.21738000,2023-06-22 19:59:59.999,44277049.31004070,32327,709.78486000,21393592.18775980,0
2023-06-22 20:00:00,30213.11000000,30256.76000000,30081.50000000,30152.07000000,1340.22068000,2023-06-22 20:59:59.999,40423624.62344340,30029,567.41552000,17116412.35055350,0
2023-06-22 21:00:00,30152.08000000,30164.17000000,29961.03000000,30054.07000000,992.20765000,2023-06-22 21:59:59.999,29821605.35382240,28718,443.74677000,13335805.00907710,0
2023-06-22 22:00:00,30054.06000000,30084.72000000,29880.00000000,29927.77000000,1431.63480000,2023-06-22 22:59:59.999,42943447.99455930,32176,536.17398000,16085260.37837150,0
2023-06-22 23:00:00,29927.78000000,29998.00000000,29884.91000000,29884.92000000,975.02990000,2023-06-22 23:59:59.999,29194847.11610810,24376,464.97206000,13924408.30475170,0
2023-06-23 00:00:00,29884.92000000,30054.00000000,29875.92000000,30010.00000000,1972.80262000,2023-06-23 00:59:59.999,59172689.16622630,40540,891.02101000,26722781.72695540,0
2023-06-23 01:00:00,30010.01000000,30045.45000000,29926.26000000,29933.53000000,820.96946000,2023-06-23 01:59:59.999,24628481.55061580,24034,426.89068000,12806655.25472270,0
2023-06-23 02:00:00,29933.52000000,29984.91000000,29800.00000000,29984.91000000,1236.23334000,2023-06-23 02:59:59.999,36955772.68391470,31063,603.58637000,18045105.77690080,0
2023-06-23 03:00:00,29984.91000000,30025.90000000,29975.73000000,30007.96000000,551.18386000,2023-06-23 03:59:59.999,16534800.11330510,16798,268.42524000,8052513.16356290,0
2023-06-23 04:00:00,30007.97000000,30082.25000000,29987.54000000,30002.00000000,866.65061000,2023-06-23 04:59:59.999,26026819.61682270,22363,420.06172000,12615107.71502860,0
2023-06-23 05:00:00,30002.00000000,30073.85000000,29987.05000000,30042.00000000,641.41454000,2023-06-23 05:59:59.999,19262787.84646290,19036,295.44604000,8873332.78982080,0
2023-06-23 06:00:00,30042.00000000,30062.33000000,29974.28000000,30012.18000000,852.43491000,2023-06-23 06:59:59.999,25600583.58891070,23618,415.91187000,12491246.16720120,0
2023-06-23 07:00:00,30012.18000000,30012.18000000,29904.29000000,29931.99000000,1994.66287000,2023-06-23 07:59:59.999,59755698.77400360,39065,650.89878000,19501101.97397290,0
2023-06-23 08:00:00,29932.00000000,30041.20000000,29906.71000000,30008.12000000,1058.14377000,2023-06-23 08:59:59.999,31731210.79648320,24176,470.62560000,14112525.35526790,0
2023-06-23 09:00:00,30008.12000000,30170.43000000,29963.62000000,30145.22000000,1631.38564000,2023-06-23 09:59:59.999,49015943.51597760,35098,790.36327000,23753981.06424300,0
2023-06-23 10:00:00,30145.21000000,30195.00000000,29938.00000000,30075.99000000,2211.52985000,2023-06-23 10:59:59.999,66533485.49583000,44395,944.14759000,28402921.58654630,0
2023-06-23 11:00:00,30076.00000000,30150.00000000,30038.65000000,30140.87000000,1156.05820000,2023-06-23 11:59:59.999,34791492.20730370,28256,531.93758000,16008145.99751240,0
2023-06-23 12:00:00,30140.86000000,30230.87000000,29996.00000000,30106.50000000,3104.11354000,2023-06-23 12:59:59.999,93480951.69798450,55734,1485.22053000,44735442.94847200,0
2023-06-23 13:00:00,30106.51000000,30181.80000000,29911.07000000,30077.82000000,2448.78785000,2023-06-23 13:59:59.999,73652621.18835920,52649,1038.31781000,31228469.65333710,0
2023-06-23 14:00:00,30077.82000000,30356.30000000,30010.61000000,30282.04000000,4001.96289000,2023-06-23 14:59:59.999,120758625.72921000,69854,2162.98369000,65269802.30048480,0
